Month,Longitude,Latitude,Crime type
2014-11,-1.777815,53.833957,Burglary
2014-11,-1.787638,53.8357,Burglary
2014-11,-1.757418,53.827113,Burglary
2014-11,-1.760153,53.824351,Burglary
2014-11,-1.762042,53.823411,Burglary
2014-11,-1.762541,53.823861,Burglary
2014-11,-1.764931,53.822877,Burglary
2014-11,-1.76699,53.824175,Burglary
2014-11,-1.771376,53.83052,Burglary
2014-11,-1.770816,53.827302,Burglary
2014-11,-1.766243,53.827374,Burglary
2014-11,-1.75592,53.82862,Burglary
2014-11,-1.852073,53.820688,Burglary
2014-11,-1.852073,53.820688,Burglary
2014-11,-1.827474,53.8334,Burglary
2014-11,-1.828345,53.83217,Burglary
2014-11,-1.863083,53.826427,Burglary
2014-11,-1.863415,53.82223,Burglary
2014-11,-1.837028,53.830394,Burglary
2014-11,-1.824942,53.835823,Burglary
2014-11,-1.969917,53.821153,Burglary
2014-11,-1.919026,53.838809,Burglary
2014-11,-1.749661,53.828652,Burglary
2014-11,-1.746428,53.828097,Burglary
2014-11,-1.743543,53.82784,Burglary
2014-11,-1.740881,53.825911,Burglary
2014-11,-1.738098,53.818957,Burglary
2014-11,-1.746198,53.820943,Burglary
2014-11,-1.754231,53.823979,Burglary
2014-11,-1.777869,53.826686,Burglary
2014-11,-1.780538,53.827517,Burglary
2014-11,-1.782743,53.824169,Burglary
2014-11,-1.780016,53.820003,Burglary
2014-11,-1.778574,53.822606,Burglary
2014-11,-1.77815,53.825275,Burglary
2014-11,-1.719042,53.822581,Burglary
2014-11,-1.727258,53.827642,Burglary
2014-11,-1.724076,53.826269,Burglary
2014-11,-1.725912,53.826668,Burglary
2014-11,-1.734382,53.818203,Burglary
2014-11,-1.731511,53.822942,Burglary
2014-11,-1.734943,53.820711,Burglary
2014-11,-1.735176,53.822357,Burglary
2014-11,-1.732622,53.820203,Burglary
2014-11,-1.725856,53.821212,Burglary
2014-11,-1.713278,53.819161,Burglary
2014-11,-1.709643,53.817633,Burglary
2014-11,-1.710723,53.819496,Burglary
2014-11,-1.710723,53.819496,Burglary
2014-11,-1.712594,53.821397,Burglary
2014-11,-1.709807,53.822433,Burglary
2014-11,-1.708505,53.821765,Burglary
2014-11,-1.74092,53.814613,Burglary
2014-11,-1.748131,53.820255,Burglary
2014-11,-1.746498,53.816422,Burglary
2014-11,-1.741002,53.816096,Burglary
2014-11,-1.734494,53.817214,Burglary
2014-11,-1.739256,53.816011,Burglary
2014-11,-1.734345,53.816827,Burglary
2014-11,-1.739395,53.818124,Burglary
2014-11,-1.739345,53.813881,Burglary
2014-11,-1.756525,53.810691,Burglary
2014-11,-1.755113,53.813249,Burglary
2014-11,-1.756525,53.810691,Burglary
2014-11,-1.74975,53.811027,Burglary
2014-11,-1.779755,53.817593,Burglary
2014-11,-1.790442,53.81266,Burglary
2014-11,-1.801442,53.811717,Burglary
2014-11,-1.815055,53.813923,Burglary
2014-11,-1.814333,53.812241,Burglary
2014-11,-1.815055,53.813923,Burglary
2014-11,-1.800956,53.814952,Burglary
2014-11,-1.804152,53.806958,Burglary
2014-11,-1.804152,53.806958,Burglary
2014-11,-1.900247,53.824351,Burglary
2014-11,-1.897718,53.827611,Burglary
2014-11,-1.899104,53.800667,Burglary
2014-11,-1.730661,53.815687,Burglary
2014-11,-1.730142,53.811398,Burglary
2014-11,-1.728346,53.811969,Burglary
2014-11,-1.731597,53.811887,Burglary
2014-11,-1.731597,53.811887,Burglary
2014-11,-1.730661,53.815687,Burglary
2014-11,-1.7323,53.813605,Burglary
2014-11,-1.731597,53.811887,Burglary
2014-11,-1.732171,53.81471,Burglary
2014-11,-1.727351,53.813297,Burglary
2014-11,-1.727231,53.815382,Burglary
2014-11,-1.720785,53.816338,Burglary
2014-11,-1.728538,53.815206,Burglary
2014-11,-1.726601,53.811831,Burglary
2014-11,-1.725793,53.812314,Burglary
2014-11,-1.722627,53.808739,Burglary
2014-11,-1.725843,53.809303,Burglary
2014-11,-1.72302,53.806672,Burglary
2014-11,-1.780712,53.805884,Burglary
2014-11,-1.781409,53.809058,Burglary
2014-11,-1.785651,53.808113,Burglary
2014-11,-1.786994,53.809706,Burglary
2014-11,-1.786248,53.807089,Burglary
2014-11,-1.783545,53.807084,Burglary
2014-11,-1.770648,53.808004,Burglary
2014-11,-1.760015,53.811264,Burglary
